"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LVA","Latvia","CPNCU","Current prices in NCU","2018","2018","EUR","Euro","0","Units",,,14633.7920638893,,
"LVA","Latvia","CPNCU","Current prices in NCU","2019","2019","EUR","Euro","0","Units",,,15919.7193403086,,
"LVA","Latvia","CPNCU","Current prices in NCU","2020","2020","EUR","Euro","0","Units",,,16740.7140159681,,
"LTU","Lithuania","CPNCU","Current prices in NCU","2009","2009","EUR","Euro","0","Units",,,8259.89744121592,,
"LTU","Lithuania","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","Units",,,8405.23141822147,,
"LTU","Lithuania","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","Units",,,8965.52000525633,,
"LTU","Lithuania","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","Units",,,9400.5096034795,,
"LTU","Lithuania","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","Units",,,9852.38776288153,,
"LTU","Lithuania","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","Units",,,10289.3742400024,,
"LTU","Lithuania","CPNCU","Current prices in NCU","2015","2015","EUR","Euro","0","Units",,,10850.0773562626,,
"LTU","Lithuania","CPNCU","Current prices in NCU","2016","2016","EUR","Euro","0","Units",,,11537.087770936,,
"LTU","Lithuania","CPNCU","Current prices in NCU","2017","2017","EUR","Euro","0","Units",,,12612.8501092328,,
"LTU","Lithuania","CPNCU","Current prices in NCU","2018","2018","EUR","Euro","0","Units",,,13529.8243258532,,
"LTU","Lithuania","CPNCU","Current prices in NCU","2019","2019","EUR","Euro","0","Units",,,14880.4798983823,,
"LTU","Lithuania","CPNCU","Current prices in NCU","2020","2020","EUR","Euro","0","Units",,,16075.3606761526,,
