"TIME","GEO","CURRENCY","Value","Flag and Footnotes"
"2016S1","Austria","Euro",":","z"
"2016S1","Poland","Euro","433.88",""
"2016S1","Portugal","Euro","618.33",""
"2016S1","Romania","Euro","232.10",""
"2016S1","Slovenia","Euro","790.73",""
"2016S1","Slovakia","Euro","405.00",""
"2016S1","Finland","Euro",":","z"
"2016S1","Sweden","Euro",":","z"
"2017S1","Belgium","Euro","1,531.93",""
"2017S1","Bulgaria","Euro","235.20",""
"2017S1","Czechia","Euro","407.09",""
"2017S1","Denmark","Euro",":","z"
"2017S1","Germany (until 1990 former territory of the FRG)","Euro","1,506.00",""
"2017S1","Estonia","Euro","470.00",""
"2017S1","Ireland","Euro","1,563.25",""
"2017S1","Greece","Euro","683.76",""
"2017S1","Spain","Euro","825.65",""
"2017S1","France","Euro","1,480.27",""
"2017S1","Croatia","Euro","433.35",""
"2017S1","Italy","Euro",":","z"
"2017S1","Cyprus","Euro",":","z"
"2017S1","Latvia","Euro","380.00",""
"2017S1","Lithuania","Euro","380.00",""
"2017S1","Luxembourg","Euro","1,998.59",""
"2017S1","Hungary","Euro","411.52",""
"2017S1","Malta","Euro","735.63",""
"2017S1","Netherlands","Euro","1,551.60",""
"2017S1","Austria","Euro",":","z"
"2017S1","Poland","Euro","453.48",""
"2017S1","Portugal","Euro","649.83",""
"2017S1","Romania","Euro","275.39",""
"2017S1","Slovenia","Euro","804.96",""
"2017S1","Slovakia","Euro","435.00",""
"2017S1","Finland","Euro",":","z"
"2017S1","Sweden","Euro",":","z"
"2018S1","Belgium","Euro","1,562.59",""
"2018S1","Bulgaria","Euro","260.76",""
"2018S1","Czechia","Euro","477.78",""
"2018S1","Denmark","Euro",":","z"
"2018S1","Germany (until 1990 former territory of the FRG)","Euro","1,506.00",""
"2018S1","Estonia","Euro","500.00",""
"2018S1","Ireland","Euro","1,613.95",""
"2018S1","Greece","Euro","683.76",""
"2018S1","Spain","Euro","858.55",""
"2018S1","France","Euro","1,498.47",""
"2018S1","Croatia","Euro","462.34",""
"2018S1","Italy","Euro",":","z"
"2018S1","Cyprus","Euro",":","z"
"2018S1","Latvia","Euro","430.00",""
"2018S1","Lithuania","Euro","400.00",""
"2018S1","Luxembourg","Euro","1,998.59",""
"2018S1","Hungary","Euro","444.69",""
"2018S1","Malta","Euro","747.54",""
"2018S1","Netherlands","Euro","1,578.00",""
"2018S1","Austria","Euro",":","z"
"2018S1","Poland","Euro","502.75",""
"2018S1","Portugal","Euro","676.67",""
"2018S1","Romania","Euro","407.86",""
"2018S1","Slovenia","Euro","842.79",""
"2018S1","Slovakia","Euro","480.00",""
"2018S1","Finland","Euro",":","z"
"2018S1","Sweden","Euro",":","z"
"2019S1","Belgium","Euro","1,593.81",""
"2019S1","Bulgaria","Euro","286.33",""
"2019S1","Czechia","Euro","518.97",""
"2019S1","Denmark","Euro",":","z"
"2019S1","Germany (until 1990 former territory of the FRG)","Euro","1,561.00",""
"2019S1","Estonia","Euro","540.00",""
"2019S1","Ireland","Euro","1,656.20",""
"2019S1","Greece","Euro","683.76",""
"2019S1","Spain","Euro","1,050.00",""
"2019S1","France","Euro","1,521.22",""
"2019S1","Croatia","Euro","505.90",""
"2019S1","Italy","Euro",":","z"
"2019S1","Cyprus","Euro",":","z"
"2019S1","Latvia","Euro","430.00",""
"2019S1","Lithuania","Euro","555.00",""
"2019S1","Luxembourg","Euro","2,089.75",""
"2019S1","Hungary","Euro","464.20",""
"2019S1","Malta","Euro","761.97",""
"2019S1","Netherlands","Euro","1,615.80",""
"2019S1","Austria","Euro",":","z"
"2019S1","Poland","Euro","523.09",""
"2019S1","Portugal","Euro","700.00",""
"2019S1","Romania","Euro","446.02",""
"2019S1","Slovenia","Euro","886.63",""
"2019S1","Slovakia","Euro","520.00",""
"2019S1","Finland","Euro",":","z"
"2019S1","Sweden","Euro",":","z"
"2020S1","Belgium","Euro","1,593.81",""
"2020S1","Bulgaria","Euro","311.89",""
"2020S1","Czechia","Euro","574.62",""
"2020S1","Denmark","Euro",":","z"
"2020S1","Germany (until 1990 former territory of the FRG)","Euro","1,544.00",""
"2020S1","Estonia","Euro","584.00",""
"2020S1","Ireland","Euro","1,656.20",""
"2020S1","Greece","Euro","758.33",""
"2020S1","Spain","Euro","1,108.33",""
"2020S1","France","Euro","1,539.42",""
"2020S1","Croatia","Euro","546.07",""
"2020S1","Italy","Euro",":","z"
"2020S1","Cyprus","Euro",":","z"
"2020S1","Latvia","Euro","430.00",""
"2020S1","Lithuania","Euro","607.00",""
"2020S1","Luxembourg","Euro","2,141.99",""
